epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.8325,1.29024,1.56644,1.19204,0.6655,0.72457,0.64515,0.42298,1.11843,0.9964,1.0742,0.000330789,0.000330789,0.0672519
2,159.533,1.23068,1.02453,1.15736,0.64728,0.80365,0.70743,0.41609,1.24048,1.13722,1.15042,0.00066396,0.00066396,0.0342517
3,228.765,1.21079,0.98818,1.15621,0.70131,0.7562,0.66047,0.41465,1.17269,0.89414,1.11652,0.000996481,0.000996481,0.00125093
4,296.872,1.20447,0.92905,1.16953,0.73416,0.75224,0.67607,0.41677,1.20775,0.85064,1.13505,0.000997803,0.000997803,0.000997803
5,364.382,1.20311,0.93879,1.16968,0.72017,0.77621,0.74632,0.47148,1.12439,0.85655,1.10348,0.000996097,0.000996097,0.000996097
6,433.287,1.17532,0.88437,1.11939,0.70261,0.70045,0.6287,0.40983,1.17254,0.78555,1.07506,0.000993906,0.000993906,0.000993906
7,487.754,1.16382,0.8438,1.12012,0.7474,0.7996,0.77396,0.48622,1.12613,0.81754,1.08644,0.000991232,0.000991232,0.000991232
8,539.314,1.15429,0.8381,1.12621,0.77373,0.77996,0.73232,0.48563,1.09744,0.70887,1.05214,0.000988079,0.000988079,0.000988079
9,591.468,1.12762,0.78919,1.10646,0.77893,0.85484,0.78498,0.48432,1.18941,0.70367,1.0804,0.000984449,0.000984449,0.000984449
10,642.996,1.12224,0.77773,1.10958,0.83001,0.78513,0.74763,0.49,1.07444,0.69945,1.06376,0.000980345,0.000980345,0.000980345
11,694.882,1.11601,0.77706,1.11553,0.84669,0.79307,0.79057,0.49552,1.1588,0.72554,1.07798,0.000975773,0.000975773,0.000975773
12,747.018,1.11866,0.77577,1.10134,0.80742,0.81271,0.78894,0.49331,1.13692,0.67165,1.06057,0.000970736,0.000970736,0.000970736
13,799.35,1.10267,0.75041,1.09593,0.80586,0.80498,0.77036,0.5054,1.05214,0.67263,1.06067,0.000965239,0.000965239,0.000965239
14,851.855,1.08358,0.7351,1.09425,0.80148,0.82764,0.77698,0.52392,1.04611,0.65232,1.0273,0.000959289,0.000959289,0.000959289
15,903.894,1.08953,0.7298,1.09147,0.80317,0.81668,0.756,0.4994,1.06624,0.62114,1.03769,0.000952889,0.000952889,0.000952889
16,955.636,1.08767,0.72125,1.08712,0.75004,0.83882,0.77268,0.50388,1.03592,0.65476,1.03891,0.000946048,0.000946048,0.000946048
17,1007.66,1.07067,0.71112,1.08803,0.77736,0.84232,0.76478,0.48067,1.25304,0.68349,1.08995,0.000938772,0.000938772,0.000938772
18,1059.36,1.06738,0.69993,1.06882,0.82049,0.80836,0.78699,0.4829,1.21473,0.66343,1.08168,0.000931067,0.000931067,0.000931067
19,1111.88,1.06049,0.69384,1.06776,0.78835,0.79805,0.72939,0.48409,1.07884,0.64197,1.0365,0.000922942,0.000922942,0.000922942
20,1164.38,1.0564,0.70036,1.07384,0.74534,0.83689,0.74927,0.47374,1.16988,0.69579,1.06124,0.000914405,0.000914405,0.000914405
21,1216.41,1.0401,0.6746,1.06931,0.82338,0.78775,0.77274,0.51345,1.05228,0.60436,1.03861,0.000905463,0.000905463,0.000905463
22,1268.12,1.02647,0.65661,1.06005,0.86709,0.79112,0.80156,0.51501,1.1306,0.61749,1.0636,0.000896127,0.000896127,0.000896127
23,1319.44,1.03361,0.65753,1.0569,0.84174,0.84682,0.80285,0.5159,1.08988,0.59786,1.0355,0.000886404,0.000886404,0.000886404
24,1370.66,1.02153,0.65082,1.04997,0.82717,0.84738,0.83431,0.53177,1.06432,0.59815,1.03898,0.000876305,0.000876305,0.000876305
25,1422.28,1.00916,0.64282,1.05412,0.82867,0.8281,0.79788,0.53066,1.06322,0.59945,1.03513,0.000865839,0.000865839,0.000865839
26,1473.26,1.01174,0.63211,1.04443,0.83723,0.78562,0.79429,0.51686,1.03694,0.60527,1.0277,0.000855018,0.000855018,0.000855018
27,1529.7,1.00398,0.62168,1.04725,0.78287,0.84243,0.78906,0.54048,0.98508,0.58794,1.0176,0.000843851,0.000843851,0.000843851
28,1580.5,1.00436,0.62347,1.05081,0.8549,0.78994,0.79402,0.51866,1.11713,0.60527,1.03997,0.000832349,0.000832349,0.000832349
29,1630.62,1.00895,0.63177,1.04956,0.79971,0.85834,0.81431,0.53852,1.02748,0.57871,1.02479,0.000820525,0.000820525,0.000820525
30,1680.9,1.00328,0.62443,1.05791,0.85153,0.79265,0.80667,0.55007,0.95852,0.58084,1.01222,0.000808389,0.000808389,0.000808389
31,1731.66,0.99746,0.59782,1.04456,0.82587,0.82774,0.79043,0.51081,1.08248,0.59226,1.03614,0.000795954,0.000795954,0.000795954
32,1782.24,1.00117,0.60535,1.04579,0.85969,0.802,0.80471,0.52297,1.02963,0.56239,1.01822,0.000783231,0.000783231,0.000783231
33,1832.32,0.98277,0.59863,1.03132,0.82704,0.84246,0.7923,0.52371,1.03144,0.58799,1.03337,0.000770234,0.000770234,0.000770234
34,1882.83,0.99108,0.61151,1.04343,0.79684,0.82283,0.78448,0.53759,0.96166,0.59443,1.00936,0.000756976,0.000756976,0.000756976
35,1934,0.97019,0.58892,1.03234,0.84788,0.80691,0.7738,0.52792,0.98274,0.56305,1.00725,0.000743468,0.000743468,0.000743468
